Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With self-employment income,Margin of Error; Total: - With self-employment income,Estimate; Total: - No self-employment income,Margin of Error; Total: - No self-employment income
Allegheny Center,1,870,93,36,25,834,88
Allegheny West,2,146,36,22,20,124,34
Allentown,3,1069.0,132.457540367,12.0,23.6854385647,1057.0,132.457540367
Arlington,4,701.0,104.465305245,28.0,26.2868788562,673.0,105.531985673
Arlington Heights,5,144,59,0,10,144,59
Banksville,6,1946.0,229.222599235,121.0,72.2080327941,1825.0,232.456447534
Bedford Dwellings,7,723,53,0,10,723,53
Beechview,8,3567.0,258.027130357,143.0,68.1469001496,3424.0,261.656263064
Beltzhoover,9,848.0,156.057681644,10.0,22.9128784748,838.0,156.057681644
Bloomfield,10,4571.0,205.494525475,345.0,85.2701589068,4226.0,208.482613184
Bluff,11,240.0,47.0,7.0,16.4924225024,233.0,47.0
Bon Air,12,372,71,33,25,339,79
Brighton Heights,13,3222.0,192.234232123,271.0,85.8836422143,2951.0,197.972220273
Brookline,14,5843.0,327.694980128,418.0,120.170711906,5425.0,328.05639759
California-Kirkbride,15,333,38,19,27,314,43
Carrick,16,4301.0,277.613040039,238.0,90.9010450985,4063.0,273.378857998
Central Business District,17,1968.0,221.43847904,221.0,109.110036202,1747.0,209.594847265
Central Lawrenceville,18,2338.0,171.57214226,272.0,87.3727646352,2066.0,166.703329301
Central Northside,19,1479.0,113.929802949,107.0,46.4327470649,1372.0,116.558997937
Central Oakland,20,1903.0,157.39758575,145.0,54.580216196,1758.0,165.638159854
Chartiers City,21,271,60,22,31,249,64
Chateau,22,3,3,0,10,3,3
Crafton Heights,23,1677.0,126.795110316,121.0,49.3355855342,1556.0,128.534042183
Crawford-Roberts,24,1125.0,138.592929113,29.0,29.8328677804,1096.0,137.97463535
Duquesne Heights,25,1170.0,125.207827231,42.0,31.0161248385,1128.0,125.207827231
East Allegheny,26,1302.0,155.051604313,94.0,44.821869662,1208.0,159.226254117
East Carnegie,27,264,39,23,17,241,40
East Hills,28,1325.0,165.508307949,19.0,23.4946802489,1306.0,166.604321673
East Liberty,29,2902.0,249.248871613,221.0,97.7650244208,2681.0,248.561863526
Elliott,30,953.0,120.370262109,95.0,47.9687398208,858.0,125.37942415
Esplen,31,142,48,14,13,128,52
Fairywood,32,428,81,27,40,401,83
Fineview,33,624.0,108.931170929,22.0,22.4722050542,602.0,108.931170929
Friendship,34,1074.0,122.065556157,37.0,30.4138126515,1037.0,125.207827231
Garfield,35,1571.0,116.914498673,94.0,53.3947562969,1477.0,117.102519187
Glen Hazel,36,241,80,0,10,241,80
Greenfield,37,3438.0,251.708164349,431.0,148.707767114,3007.0,250.910342553
Hays,38,185,43,8,12,177,44
Hazelwood,39,1870.0,201.881153157,34.0,30.4138126514,1836.0,203.263375943
Highland Park,40,2977.0,243.973359202,354.0,103.004854254,2623.0,261.671549849
Homewood North,41,1210.0,129.645670965,68.0,50.8428952756,1142.0,130.01153795
Homewood South,42,1082.0,116.90166808,32.0,33.2565782966,1050.0,116.713324004
Homewood West,43,392.0,75.0066663704,0.0,14.1421356237,392.0,75.0066663704
Knoxville,44,1510.0,218.716711752,91.0,69.9928567784,1419.0,217.878406456
Larimer,45,652.0,91.7496593999,23.0,20.9761769634,629.0,90.88454214
Lincoln Place,46,1460.0,139.907112043,140.0,66.1966766537,1320.0,138.228072401
Lincoln-Lemington-Belmar,47,1959.0,154.466824917,55.0,39.3954312072,1904.0,154.473298663
Lower Lawrenceville,48,1257.0,125.39936204,90.0,53.8237865632,1167.0,128.763348823
Manchester,49,984.0,119.331471121,107.0,59.0931468108,877.0,111.287914887
Marshall-Shadeland,50,1565.0,182.655413279,67.0,40.2367990775,1498.0,184.203691602
Middle Hill,51,926.0,122.086035237,14.0,19.8997487421,912.0,123.146254511
Morningside,52,1534.0,141.55564277,171.0,72.7667506489,1363.0,144.267113369
Mount Oliver Borough,53,1465.0,173.890770313,33.0,28.5832118559,1432.0,175.59897494
Mount Washington,54,4385.0,249.523545982,377.0,98.8230742287,4008.0,256.101542361
Mt. Oliver,55,261,57,26,29,235,56
New Homestead,56,379,32,25,19,354,31
North Oakland,57,2972.0,230.516810666,147.0,57.861904566,2825.0,234.040594769
North Shore,58,154.0,45.1220566907,0.0,14.1421356237,154.0,45.1220566907
Northview Heights,59,510,81,11,11,499,82
